Profile ID;Organisation;Location;Work Category;
23222;Khejri sarvodaya trust;Rajasthan, Jaipur;Social Welfare;
20196;Khelaghar 1;Orissa, Bhubaneshwar;Social Welfare;
23852;Kherlara Shramik Thera Sahkari Samiti;Rajasthan, Udaipur;Children - Education;
13750;Kherwadi Social Welfare Association;Maharashtra, Mumbai, Bandra (E);Community Centre , Vocational Training , Youth;
13796;Kherwadi Social Welfare Association;Maharashtra, Mumbai, Bandra (E);Vocational Training;
41482;Kherwadi Social Welfare Association, Project;Maharashtra, Mumbai, Sandhurst Road;Vocational Training›Livelihood;
23224;Kheti Avam Gaon Vikas Sansthan;Rajasthan, Jaipur;Social Welfare;
23316;Kheti Evam Gram Vikas Sansthan;Rajasthan, Jaipur;Rural Development;
22376;kheti virasat;Punjab, Naya Nangal;Agriculture , Environment , Sustainable Development;
22468;Kheti Virasat Mission;Punjab;Environment , Medical - Health , Medical - Naturopathy;
21982;Khetra Mohan Yuvak Sangha;Orissa, Sambalpur;Social Welfare;
38292;Khidmat - Ul - Muslameen;Karnataka, Bellary;Children - Education;
14960;Khidmat E Khalk;Maharashtra, Mumbai, Govandi;Children - Education , Community Development , Family Welfare;
8950;Khoj;Delhi, Delhi;Social Welfare , Social Welfare;
12718;KHOJ;Maharashtra, Amravati;Empowerment , Rural Development;
10760;KHOJ Foundation;Delhi, Delhi;Children - Street Children;
8952;Khoj International Artist's Association;Delhi, Delhi;Children - Education , Children - Education;
6866;Khosla Medical Instt.& Research Society;Delhi, Delhi;Community Development;
14786;Khotachiwadi Welfare and Heritage Trust Committee;Maharashtra, Mumbai, Girgaon;Social Welfare;
20910;Khrenjhar Integrated Rural Development & Training Institute	-;Orissa, Keonjhar;Children - Education;
8954;Khrist Raja Family Helper Project;Delhi, Delhi;Social Welfare;
21654;Khtramani Club;Orissa, Puri;Social Welfare;
12214;KhudraDawaVikretaSangh;Madhya Pradesh, Khandwa;Medical - Health , Medical - Mobile Clinics , Medical - Services;
19294;Khukishe Welfare Society;Nagaland, Dimapur;Social Welfare , Social Welfare;
12360;Khurai Techinical Education Society;Madhya Pradesh, Sagar;Children - Education , Children - Education;
2226;Khushboo Federation;Bihar, Gaya;Capacity Building , Disabilities - Mentally - Challenged , Self - Employment;
6262;Khushboo Welfare Society;Haryana;Disabilities;
6242;Khushi;Haryana;Art and Culture , Children - Education , Children - Education;
7550;Khushi Cetre for Rehabilitation & Research;Delhi, Delhi;Disaster Management , Holistic Development , Medical - Health;
34168;Khushi Charitable Society;Uttaranchal, Rishikesh;Children - Education , Medical - Health , Vocational Training;
15214;Khushi Educational & Social Trust;Maharashtra, Mumbai, Kanjurmarg (W);Children - Education , Medical - Health , Women;
33798;khushi society for social services;Uttar Pradesh, Others;Capacity Building , Education - Literacy , Rural Development;
38902;Khusro Charitable Trust;Karnataka, Gulbarga;Children - Education;
19226;Khyndai Kyntoit Social and Cultural Organisation;Meghalaya, Shillong;Capacity Building , Children - Education , Rural Development;
37448;Kidmat Committee;Karnataka, Bangalore;Children - Education , Children - Slums , Women - Widows;
25040;Kidney Help Trust;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
1758;Kidpower;Andhra Pradesh, Visakhapatnam;Children , Legal Aid;
36050;Kidwai Memorial Institute Of Oncology;Karnataka, Bangalore;Social Welfare;
20198;Kiehakeswari Social & Rural Welfare Organisation;Orissa, Bhubaneshwar;Rural Development;
14264;Kilachand Devchand Foundation;Maharashtra, Mumbai, Churchgate;Children - Education , Rural Development;
15908;Kimaya Foundation;Maharashtra, Mumbai, Parel;Senior Citizens;
20810;Kimidi Multisectoral Development Society;Orissa, Gajapati;Social Welfare;
12824;KINARA;Maharashtra, Aurangabad;Children , Legal Aid , Women;
33980;Kindness;Uttar Pradesh, Varanasi;Medical - Health;
16284;Kindness Unlimited;Maharashtra, Mumbai, Vile Parle (E);Social Welfare;
15350;King George V Memorial After Care Centre;Maharashtra, Mumbai, Mahalakshmi;Citizen Groups , Disabilities - Physically - Challenged , Social Welfare;
29810;King Jesus Educational Trust;Tamil Nadu, Pattukottai;Children - Education , Social Welfare;
1886;Kingdom Children Home;Andhra Pradesh, West Godavari;Children;
26796;Kings Revival Church-international Trust;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
31806;Kings World Trust For Childredn (india;Tamil Nadu, Tirunelveli;Social Welfare , Social Welfare;
10338;Kinjarapu Jeewan Sewa Foundation;Delhi, Delhi;Children , Right to Information ( RTI ) , Trusts;
16034;Kinnar Kastoori;Maharashtra, Mumbai, Santacruz (E);Human Rights , Support Groups;
15378;Kinnari Foundation (Cultural Centre);Maharashtra, Mumbai, Mahalakshmi;Disabilities - Mentally - Challenged , Disabilities - Physically - Challenged , Support Groups;
928;Kinnera Welfare Society;Andhra Pradesh, Hyderabad;Children , Disabilities , Senior Citizens;
27440;Kins Foundation;Tamil Nadu, Dindigul;Social Welfare , Social Welfare;
27202;Kinsley Community Centre;Tamil Nadu, Dharmapuri;Social Welfare , Social Welfare;
33970;KIRAN Center;Uttar Pradesh, Varanasi;Children - Education , Disabilities - Physically - Challenged;
34526;kiran rural welfare society;West Bengal, Cooch Behar;Children - Education , Community Development , Women;
22066;kiriya organisation for holisitic humanity;Pondicherry, Pondicherry;Children - Slums , Empowerment , Self - Employment;
18222;Kirloskar Brothers Limited, Kirloskarvadi;Maharashtra, Sangli;Ambulance , Community Development , Social Welfare;
6868;Kirpal Ruhani Satsang Society;Delhi, Delhi;Children - Education;
22174;Kirpal Ruhani Satsang Spriritual Society;Punjab, Amritsar;Social Welfare , Social Welfare;
16886;kirti foundation;Maharashtra, Nasik;Business - Marketing;
25042;Kiruba Welfare Trust;Tamil Nadu, Chennai;Children - Education , Social Welfare;
27204;Kirubai Grama Munnetra Sangam;Tamil Nadu, Dharmapuri;Social Welfare , Social Welfare;
32202;Kirubai Illam;Tamil Nadu, Tuticorin;Social Welfare , Social Welfare;
32204;Kirubai Illam Trust;Tamil Nadu, Tuticorin;Children - Education , Social Welfare;
30148;Kirubalaya Missions Charitable Trust;Tamil Nadu, Salem;Children - Education , Social Welfare;
25044;Kirubasanam Prayer House;Tamil Nadu, Chennai;Children - Education , Social Welfare;
40860;Kisan Sabha Trust;Karnataka, Udupi;Social Welfare;
11612;Kisan Seva Samiti;Madhya Pradesh, Chattarpur;Social Welfare , Social Welfare;
15614;Kishinchand Chellaram Educational Trust;Maharashtra, Mumbai, Marine Lines;Children - Education;
39670;Kishkinda Trust;Karnataka, Koppal;Art and Culture;
7738;Kislay;Delhi, Delhi;Children - Education;
22296;KISSAN BHALIE AND ADVISORY SOCIETY (REGD.);Punjab, Jallandhar;Agriculture , Education - Literacy , Environment;
20472;Kissan Club;Orissa, Cuttack;Social Welfare;
40990;KiteLife Foundation;Kerala, Cochin;Communal Harmony , Environment , Volunteer Management;
8956;Kiwanis Club aof New Delhi;Delhi, Delhi;Children - Education;
19296;Kiwi Society;Nagaland, Dimapur;Social Welfare , Social Welfare;
16168;KJ Somaiya Hospital and Medical Centre;Maharashtra, Mumbai, Sion (E);Medical - HIV / AIDs , Medical - Health , Medical - Hospital;
37338;KJV Bible Society, The;Karnataka, Bangalore;Trusts;
28148;Klein Children Home;Tamil Nadu, Kanyakumari;Social Welfare , Social Welfare;
39398;KNH Account Siac of Methodist Church in Southern Asia;Karnataka, Kolar (KGF);Trusts;
8958;Knh Diocese Of Delhi;Delhi, Delhi;Social Welfare;
41024;Kochin Yatheemkhana;Kerala, Cochin;Social Welfare;
27442;Kodai Grihini Trust;Tamil Nadu, Dindigul;Social Welfare , Social Welfare;
28860;Kodaikanal Educational And Development Society;Tamil Nadu, Madurai;Children - Education , Social Welfare;
27640;Kodaikanal International School;Tamil Nadu, Dindigul;Children - Education , Children - Education;
39870;Kodava Samaja;Karnataka, Mangalore;Social Welfare;
27444;Kodi Eswara Trust;Tamil Nadu, Dindigul;Social Welfare , Social Welfare;
19372;Kohima Orphanage & Destitute Home;Nagaland, Kohima;Social Welfare , Social Welfare;
2120;Kokila Vikas Ashram;Assam, Others;Capacity Building , Education - Literacy , Women;
38710;Kolache Pradeshada Parisara Parivathane Mattu;Karnataka, Davanagere;Social Welfare;
39400;Kolar District Evangelical Rural Integrated Educationaltraining;Karnataka, Kolar (KGF);Children - Education;
34280;Kolata Anubhuti;West Bengal, Calcutta;Children - Early Intervention , Disabilities , Documentation Centre;
38154;Kolhapur Diocesan Boy's Hostel;Karnataka, Belgaum;Social Welfare;
34424;Kolkata Independent foundation;West Bengal, Calcutta;Business - Business Development Services , Children , Women;
34420;Kolkata Sanved;West Bengal, Calcutta;Empowerment , Human Rights , Medical - Alternative Therapies;
34400;Kolkata Social Project;West Bengal, Calcutta;Vocational Training;
39636;Kollegal Girls Home;Karnataka, Kollegal;Social Welfare;
39638;Kollegal Parish Society;Karnataka, Kollegal;Social Welfare;
26798;Kolping India;Tamil Nadu, Coimbatore;Social Welfare , Social Welfare;
28862;Kombai Small Farmer's Development Society;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
21656;Konark Natya Mandap;Orissa, Puri;Social Welfare;
21468;konark women empowerment self help organization;Orissa, Others;Empowerment , Rural Development , Women;
24512;kondammal trust;Tamil Nadu, Chennai;Medical - Diabetes , Medical - Hospital , Medical - Mobile Clinics;
24316;Kongu Nanbargal Sangam;Tamil Nadu, Chengalpattu;Children - Education , Social Welfare;
5534;Konjetha Khet Pragati Mandal;Gujarat, Panchamahals;Social Welfare , Social Welfare;
26626;Koothu P Pattarai Trust;Tamil Nadu, Chennai;Art and Culture , Children - Education;
21286;Koraput Development Foundation;Orissa, Koraput;Social Welfare;
21288;Koraput Farmers Association;Orissa, Koraput;Social Welfare;
21324;Koraput Farmers' Association (KFA);Orissa, Koraput;Agriculture , Disabilities , Education - Literacy;
2856;Kosamdih Pragatisheel Yuwa Samiti, Masturi;Chhattisgarh;Children - Education , Women;
19768;koshal anchlik seva santha;Orissa, Bargarh;Children - Education , Children - Orphanages , Children - Slums;
38712;Koshis Handicapped & Disabled Welfare Educational Association;Karnataka, Davanagere;Children - Education , Disabilities - Physically - Challenged;
4178;Koshish;Gujarat, Anand;Children - Education , Community Development , Environment;
7262;Koshish 4 Special People;Delhi, Delhi;Disabilities - Hearing - Challenged , Disabilities - Mentally - Challenged , Disabilities - Physically - Challenged;
17212;Koshish – A Divine Hand Foundation;Maharashtra, Navi Mumbai;Children , Women , Youth;
6478;koshish4specialpeople;Delhi, Delhi;Disabilities - Hearing - Challenged , Disabilities - Physically - Challenged , Disabilities - Visually - Challenged;
15512;Kosmopolitan Charitable Hospital;Maharashtra, Mumbai, Malad (W);Medical - Hospital;
23640;Kota Cancer Society;Rajasthan, Kota;Medical - Services;
23642;Kota Eye Research Centre Society;Rajasthan, Kota;Social Welfare;
29686;Kotagiri Eye Hospital Association;Tamil Nadu, Nanguneri;Social Welfare , Social Welfare;
28502;KOTAGIRI WOMENS WELFARE TRUST;Tamil Nadu, Kotagiri;Children - Education , Medical - Hospital , Rural Development;
29658;Kotagiri Womens Welfare Trust;Tamil Nadu, Namakkal;Social Welfare , Social Welfare;
28508;Kotagiris Medical Fellowship;Tamil Nadu, Kotagiri;Social Welfare , Social Welfare;
28514;KOTAGIRIWOMENS WELFARE TRUST;Tamil Nadu, Kotagiri;Agriculture , Rural and Urban Development , Sustainable Development;
25046;Kotahari Institute of Integrated Rural Development and Technology Transfer;Tamil Nadu, Chennai;Children - Education , Social Welfare;
14550;Kotak Education Foundation;Maharashtra, Mumbai, Deonar;Children - Education , Vocational Training , Youth;
11944;Kothari Educational Foundation;Madhya Pradesh, Indore;Social Welfare , Social Welfare;
26470;Kothari Institute of Integrated Rural Development & Technology Transfer;Tamil Nadu, Chennai;Business - Technical;
23854;Kotra adivasi sansthan;Rajasthan, Udaipur;Social Welfare;
22502;Kotri Gram Seva Sahakari Samiti Ltd.;Rajasthan, Ajmer;Rural Development;
30736;Kottamalayan Educational And Rural Women Development Society;Tamil Nadu, Theni;Children - Education , Social Welfare;
41138;Kottapuram Indegrated Development Society (KIDS);Kerala, Koothupuarambu;Social Welfare;
41154;Kottayam Social Service Society;Kerala, Kottayam;Children , Women , Women - Widows;
25048;Kottur Residents Educational Society;Tamil Nadu, Chennai;Children - Education , Social Welfare;
26802;Kovai Baptist Mission for the Deaf and Dumb;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
26968;Kovai Heart Foundation;Tamil Nadu, Coimbatore;Medical - Kidney;
26800;Kovai Hearth Foundation;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
27206;Koviloor Nirmala Charitable Society;Tamil Nadu, Dharmapuri;Social Welfare , Social Welfare;
1640;KP Poly Clinic;Andhra Pradesh, Vijayanagaram;Social Welfare;
34364;kp.brightway.com;West Bengal, Calcutta;Business - Business Development Services , Education - Slow Learners , Institution;
19576;Kranti;Orissa, Balangir;Social Welfare;
13192;Kranti Group Undale;Maharashtra, Karad;Environment , Rural Development , Social Welfare;
12886;Kranti Mahila gramsudhar Sevabhavi Santha;Maharashtra, Beed;Agriculture , Self Help Groups , Women;
16418;Kranti Sanstha;Maharashtra, Mumbai, Walkeshwar;Disabilities , Social Welfare;
14918;Krantikari Yuva Sanghathan;Maharashtra, Mumbai, Goregaon (W);Citizen Groups , Right to Information ( RTI ) , Youth;
20474;Kranty Parisada;Orissa, Cuttack;Social Welfare;
16700;Krida Vikas Sanstha;Maharashtra, Nagpur;Community Development , Slum Development;
3316;Kripa;Goa, Panaji;Family Welfare;
13808;Kripa Foundation;Maharashtra, Mumbai, Bandra (W);Social Welfare;
12480;Kripa Social Welfare Society;Madhya Pradesh, Ujjain;Children - Education , Social Welfare;
40222;Kripalaya Institute of Religious Studies;Karnataka, Mysore;Trusts;
17968;Krips Foundation;Maharashtra, Pune;Children - Education , Medical - Health , Youth;
11622;Krishak Mahila Samaj Pandhukna;Madhya Pradesh, Chindara;Social Welfare , Social Welfare;
12320;Krishak Sahyog Sansthan;Madhya Pradesh, Raisen;Social Welfare , Social Welfare;
12592;krishak seva sangh,koregvan;Maharashtra, Ahmednagar;Community Development , Social Welfare;
23856;Krishak Yuvak Mandal;Rajasthan, Udaipur;Social Welfare;
22684;krishana sanstha;Rajasthan, Barmer;Disabilities - Hearing - Challenged , Environment , Rural and Urban Development;
2228;krishi;Bihar, Gaya;Children - Education , Community Development;
33028;Krishi & Paryavaran Vikas Sansthan;Uttar Pradesh, Banda;Agriculture , Environment;
23460;Krishi Anushandhan Evam Gramin Vikas Sansthan;Rajasthan, Jhunjhunu;Agriculture , Rural Development;
33852;krishi evam gramin vikash prabandhan sansthan;Uttar Pradesh, Sultanpur;Children , Citizen Groups , Communal Harmony;
22632;Krishi Evam Parishtitiki Vikas Sansthan;Rajasthan, Alwar;Children - Education;
1842;Krishi Integrated Rural Developement Society;Andhra Pradesh, Warangal;Medical - Naturopathy , Social Welfare , Vocational Training;
40568;Krishi Prayoga Pariwara;Karnataka, Shimoga;Social Welfare;
38756;Krishi Vigyan Kendra;Karnataka, Gadag;Agriculture , Education - Literacy , Rural Development;
18318;Krishiganga Krishi Padavidhar Sanstha;Maharashtra, Satara;Agriculture , Environment , Sustainable Development;
6870;Krishna Foundation;Delhi, Delhi;Children - Education;
24186;Krishna Hospital & Research Centre;Tamil Nadu, Arcot;Social Welfare , Social Welfare;
20476;Krishna Murty Society;Orissa, Cuttack;Social Welfare;
22398;Krishna Puri Kushtlachar Seva Sangh;Punjab, Patiala;Social Welfare , Social Welfare;
19700;Krishna Sukuri Kanyashram;Orissa, Balasore;Social Welfare;
15750;Krishna's Aid for Nature and Human Adversities;Maharashtra, Mumbai, Mulund (W);Disabilities , Donors , Self - Employment;
34766;Krishnaa Human Initiatives;West Bengal, Kolkota;Environment , Self Help Groups , Sustainable Development;
16288;Krishnabai Khambadkon Parent-Children Guidance Centre;Maharashtra, Mumbai, Vile Parle (E);Children , Social Welfare;
154;Krishnagopal Maheshwari Foundation;Maharashtra, Mumbai, Nariman Point;Social Welfare;
25050;Krishnamacharya Yoga Mandiram;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
26632;Krishnamurthy's Self Introspection Club;Tamil Nadu, Chennai;Children - Education;
26452;Krishnamurti Foundation India ( Tamilnadu);Tamil Nadu, Chennai;Social Welfare;
15450;Krishnamurti Foundation India - Mumbai Centre;Maharashtra, Mumbai, Malabar Hill;Institution;
25052;Krishnamurti International Agricultural Dev Foundation;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
25054;Krishnankoil Rural Eye Hospital;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
22400;Krisnopur Kusht Lachar Sewa Sangh;Punjab, Patiala;Social Welfare , Social Welfare;
27722;krisshnaraja trust;Tamil Nadu, Dindigul;Capacity Building , ICT - Information and Communication Technology , Rural Development;
29766;krisshnaraja trust;Tamil Nadu, Palani;Architecture , Capacity Building , Empowerment;
38768;Krist Seva Ashram;Karnataka, Gadag;Social Welfare;
10254;Kriti a development research, praxis and communication team;Delhi, Delhi;Capacity Building , Human Rights , Sustainable Development;
732;Kriti Social Initiatives;Andhra Pradesh, Hyderabad;Medical - Services , Vocational Training;
33608;kriti welfer organisation;Uttar Pradesh, Lucknow;Community Development , Empowerment , Women;
35884;KRITYANAND UNESCO CLUB, JAMSHEDPUR;Jharkhand, Jamshedpur;Children - Education , Human Rights , Social Welfare;
25056;Kriya Babji Samagh (regd) No. 2;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
21078;Kriya Yoga Foundation Trust;Orissa, Khurdha;Social Welfare;
34722;KRIYA YOGA MISSION;West Bengal, Kolkota;Animal Welfare , Health - Yoga , Spiritual Development;
34278;KRIYA YOGA MISSION;West Bengal, Calcutta;Health - Yoga;
26138;KRM Educational And Charitable Trust;Tamil Nadu, Chennai;Children - Education;
19430;Krode Development Society;Nagaland, Phek;Social Welfare , Social Welfare;
39220;Kruger Foundation for Child Aid;Karnataka, Karwar;Social Welfare;
25058;Krupa;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
25060;Krupa Jeevan Charitable Trust;Tamil Nadu, Chennai;Children - Education , Social Welfare;
40224;Krupalaya Trust;Karnataka, Mysore;Social Welfare;
20348;Krupasindhu Memorial Library;Orissa, Cuttack;Education - Literacy;
12626;krushi vikas shetkari audyogik sanstha;Maharashtra, Akola;Community Development , Sustainable Development;
12942;krushi vikas va gramin prashikshan sanstha;Maharashtra, Buldhana;Self Help Groups , Sustainable Development , Women;
12946;Krushi Vikas va Gramin Prashikshan Sanstha;Maharashtra, Buldhana;Rural Development , Sustainable Development , Women;
1134;Krushna Seva Samithi;Andhra Pradesh, Krishna;Education - Literacy , Medical - Health , Rural and Urban Development;
13670;Kshana;Maharashtra, Mumbai, Andheri (W);Social Welfare;
7240;Kshatriya dharmarth sewa sangh;Delhi, Delhi;Architecture , Children , Citizen Groups;
31062;Kshema Rehabilitation Training Centre;Tamil Nadu, Thiruvannamalai;Social Welfare , Social Welfare;
22822;Kshetriya Samagra Lok Vikas Sangh;Rajasthan, Bikaner;Social Welfare;
23858;Kshetriya Seva Society;Rajasthan, Udaipur;Social Welfare;
12412;kshetriya vikash samiti rampur;Madhya Pradesh, Shadol;Agriculture , Education - Literacy , Rural Development;
14056;Kshitij;Maharashtra, Mumbai, Charni Road;Disabilities - Mentally - Challenged;
18978;kshitij foundation wai;Maharashtra, Wai;Art and Culture , Education - Literacy , Environment;
18980;kshitij foundation wai;Maharashtra, Wai;Capacity Building , Education - Literacy , Environment;
15302;Kshitij Mental Health Centre;Maharashtra, Mumbai, Lower Parel (E);Medical - Mental Health;
11480;Kshitij-Society for participatory Development & Research;Madhya Pradesh, Bhopal;Social Welfare , Social Welfare;
31532;KSR Educational & Charitable Trust;Tamil Nadu, Tiruchengode;Children - Education;
23674;Kuchaman Vikas Samiti;Rajasthan, Nagor;Social Welfare;
14206;Kudalkar Foundation;Maharashtra, Mumbai, Chembur;Education - Literacy , Medical - Health , Social Welfare;
29814;Kudumbam;Tamil Nadu, Pattukottai;Children - Education , Social Welfare;
20812;KUI Baptist Association;Orissa, Gajapati;Social Welfare;
22028;Kujang Development Foundation;Orissa;Children - Education , Social Welfare , Social Welfare;
5896;Kukna Tribal Development Project;Gujarat, Surat;Community Development , Social Welfare;
23226;Kukti Dhara Sansthan;Rajasthan, Jaipur;Social Welfare;
28864;Kulamangalam Golden Jubilee Seva Sangam;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
28362;Kulasekharam Pallottine Society;Tamil Nadu, Kanyakumari;Social Welfare , Social Welfare;
40226;Kuldur Parish Society	,;Karnataka, Mysore;Trusts;
35290;Kullu Rotary Association;Himachal Pradesh, Kullu;Social Welfare , Social Welfare;
40738;Kumadvati Rural Development Society;Karnataka, Tumkur;Social Welfare;
1080;Kumar Solar Power Foundation;Andhra Pradesh, Krishna;Business - NGO Products , Disabilities - Physically - Challenged , Self - Employment;
23228;Kumarappa Institute of Gram Samaj;Rajasthan, Jaipur;Social Welfare;
23098;Kumarappa Institute of Gram Swaraj;Rajasthan, Jaipur;Capacity Building , Microfinance , Rural Development;
28108;kumari organisation for development initiatives;Tamil Nadu, Kanniyakumari;Senior Citizens , Social Welfare , Women;
28230;Kumari Organization for Development Initiatives;Tamil Nadu, Kanyakumari;Children - Education , Social Welfare;
8960;Kumayun Technical Education and Social Welfare Society of India;Delhi, Delhi;Children - Education;
28568;Kumbakonam Hindu Mission Hospital;Tamil Nadu, Kumbakonam;Social Welfare , Social Welfare;
39222;Kumbhashree Education Trust;Karnataka, Karwar;Social Welfare;
36540;Kumble Foundation, The;Karnataka, Bangalore;Education - Literacy , Environment , Sports;
15610;Kumud J. C. Barot Foundation;Maharashtra, Mumbai, Marine Lines;Children , Medical - HIV / AIDs , Women;
12342;KUMUD SEWA SAMITI;Madhya Pradesh, Rewa;Agriculture , Family Welfare , Solid Waste Management;
5536;Kundawarha Bibhak Adivasi Seva Mandal;Gujarat, Panchamahals;Social Welfare , Social Welfare;
4146;Kundla Taluka Gram Seva Mandal;Gujarat, Amreli;Social Welfare , Social Welfare;
26254;Kuntathur Thirunageswaram Women Development Society;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
16134;Kuprakabi Ceramic Design Studio;Maharashtra, Mumbai, Santacruz (W);Empowerment , Slum Development , Women;
35418;Kupvi Harbarium Welfare Workers Association;Himachal Pradesh, Shimla;Social Welfare , Social Welfare;
25062;Kural Salai Rural Development Trust;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
27148;Kural Solai Rural Development Trust;Tamil Nadu, Denkanikottai;Children - Education , Social Welfare;
31886;Kurinji Social Welfare Society;Tamil Nadu, Trichy;Children - Slums , Social Welfare , Women;
610;kurmaguda academy for relief &education kare;Andhra Pradesh, Hyderabad;Holistic Development;
27446;Kurral Trust;Tamil Nadu, Dindigul;Social Welfare , Social Welfare;
29932;Kurukshetra;Tamil Nadu, Pudukottai;Social Welfare , Social Welfare;
24362;Kurukulam Kalvi Kuzhu Gurkulam;Tamil Nadu, Chengalpattu;Children - Education , Children - Education;
11482;Kurwai Education Society;Madhya Pradesh, Bhopal;Children - Education , Children - Education;
37678;Kushal Foundation;Karnataka, Bangalore;Children , Medical - Health;
2798;Kushal Nivash Girls Home;Chhattisgarh, Bastar;Children - Education , Children - Education;
38770;Kushalnagar Parish Society;Karnataka, Gadag;Social Welfare;
17290;Kushtarog Niwaran Samiti, Shantivan;Maharashtra, Panvel;Medical - Leprosy;
772;kusuma foundation;Andhra Pradesh, Hyderabad;Children - Education;
5288;Kutch Jyothi Trust;Gujarat;Children - Education , Community Development;
4990;Kutch jyoti trust;Gujarat, Bhuj-Kutch;Children - Education , Community Development , Women;
4958;Kutch Mahila Vikas Sangathan;Gujarat, Bhuj-Kutch;Children - Education , Social Welfare;
4922;Kutch Nav Nirman Abhiyan;Gujarat, Bhuj-Kutch;Disaster Management;
4960;Kutch Seva Trust;Gujarat, Bhuj-Kutch;Children - Education , Social Welfare;
4962;Kutch Vipasana Kendra;Gujarat, Bhuj-Kutch;Children - Early Intervention , Social Welfare;
4936;Kutchh Vikas Trust;Gujarat, Bhuj-Kutch;Social Welfare , Social Welfare;
6482;kutumb foundation;Delhi, Delhi;Children , Children;
37194;Kutumba;Karnataka, Bangalore;Children , Disabilities , Women;
18766;Kutumbh Niyojan Adarsha Kendra-KNAK;Maharashtra, Thane;Women;
40570;Kuvempu University;Karnataka, Shimoga;Children - Education;
28232;Kuzhithurai Integral Developent Social Service Trust;Tamil Nadu, Kanyakumari;Social Welfare , Social Welfare;
858;KVK Foundation;Andhra Pradesh, Hyderabad;Education - Literacy , Empowerment , ICT - Information and Communication Technology;
5290;L . C. Institute of Technology;Gujarat, Mehsana;Children - Education , Networks;
37196;L&L Bhagwandas Sirwani Charitable Trust;Karnataka, Bangalore;Children - Education;
21080;L. C. Institute Of Social & Applied Sciences;Orissa, Khurdha;Social Welfare;
16360;L. T. M. G Hospital's School for the Deaf;Maharashtra, Mumbai, Wadala;Disabilities - Hearing - Challenged;
36846;L.M Social and Women Welfare Trust;Karnataka, Bangalore;Social Welfare;
38648;L.M.Social & Women Welfare Trust;Karnataka, Chitradurga;Social Welfare;
40228;La Salette Nikethan Trust;Karnataka, Mysore;Social Welfare;
1818;LABOUR COLONY SAMAIKYA YOUTH ASSOCATION;Andhra Pradesh, Warangal;Agriculture , Education - Literacy , Rural and Urban Development;
1838;labour colony samaikya youth assocation;Andhra Pradesh, Warangal;Agriculture , Education - Literacy , Rural and Urban Development;
15666;Labour Education And Research Network;Maharashtra, Mumbai, Matunga (W);Community Development , Self - Employment , Women;
8962;Labour Organisation Of The Rural Poor;Delhi, Delhi;Children - Education;
31648;Labourers Organisation For Rural Devpt.;Tamil Nadu, Tirunelveli;Children - Education , Children - Education;
36384;LabourNet Services India Pvt. Ltd;Karnataka, Bangalore;Self - Employment , Youth;
24024;Lachen tourism development commitee;Sikkim, Others;Social Welfare;
26804;Lacson Global Educational and Social Services Trust;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
35602;Ladakh Amchi Sabha;Jammu and Kashmir, Kathua;Social Welfare , Social Welfare;
6872;Ladakh Buddhist Vihara;Delhi, Delhi;Social Welfare;
35754;LADAKH DEVELOPMENT PROJECT;Jammu and Kashmir, Srinagar;Children - Education , Children - Orphanages , Disabilities - Physically - Challenged;
35678;Ladakh Ecological Development Group;Jammu and Kashmir, Others;Children - Education , Disabilities , Sustainable Development;
35556;Ladakh Ecological Developmental Group;Jammu and Kashmir, Jammu;Social Welfare , Social Welfare;
35624;Ladakh Environment and Health Organisation;Jammu and Kashmir, Katra;Social Welfare , Social Welfare;
35650;Ladakh Eye Care Foundation, Leh - Ladakh;Jammu and Kashmir, Katra;Social Welfare , Social Welfare;
35626;Ladakh Heart Foundation;Jammu and Kashmir, Katra;Social Welfare , Social Welfare;
35606;Ladakh Society for Traditional Medicines;Jammu and Kashmir, Katra;Children - Education , Social Welfare;
37198;Ladies Circle India	,;Karnataka, Bangalore;Social Welfare;
36026;Ladies organization for Rural Development;Karnataka, Bagalkot;Community Development , Social Welfare;
39872;Lady Hill Society;Karnataka, Mangalore;Children - Education;
8964;Lady Irwin College;Delhi, Delhi;Children - Education;
14778;Lady Northcote Hindu Orphanage;Maharashtra, Mumbai, Girgaon;Children;
8966;Lady Shri Ram College for Women;Delhi, Delhi;Women;
35284;Lady Willingdon Hospital;Himachal Pradesh, Kullu;Children - Education , Social Welfare;
13932;LaganSathi.com;Maharashtra, Mumbai, Borivali (E);Disabilities;
23670;Laganshah Charitable Nursing Home Society;Rajasthan, Nagor;Medical - Services;
2924;Lahar Samaj Sevi Sansthan;Chhattisgarh, Champa;Children - Education , Social Welfare;
